cve_id,published_date,last_modified_date,description,vuln_status,severity,cvss_version,cvss_score,attack_vector,access_complexity,confidentiality_impact,integrity_impact,availability_impact,source_identifier,reference_urls,created_at
CVE-1999-0095,1988-10-01T04:00:00.000,2025-04-03T01:03:51.193,"The debug command in Sendmail is enabled, allowing attackers to execute commands as root.",Deferred,HIGH,2.0,10.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://seclists.org/fulldisclosure/2019/Jun/16, http://www.openwall.com/lists/oss-security/2019/06/05/4, http://www.openwall.com/lists/oss-security/2019/06/06/1, http://www.osvdb.org/195, http://www.securityfocus.com/bid/1, http://seclists.org/fulldisclosure/2019/Jun/16, http://www.openwall.com/lists/oss-security/2019/06/05/4, http://www.openwall.com/lists/oss-security/2019/06/06/1, http://www.osvdb.org/195, http://www.securityfocus.com/bid/1",
CVE-1999-0082,1988-11-11T05:00:00.000,2025-04-03T01:03:51.193,CWD ~root command in ftpd allows root access.,Deferred,HIGH,2.0,10.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.alw.nih.gov/Security/Docs/admin-guide-to-cracking.101.html, http://www.alw.nih.gov/Security/Docs/admin-guide-to-cracking.101.html",
CVE-1999-1471,1989-01-01T05:00:00.000,2025-04-03T01:03:51.193,Buffer overflow in passwd in BSD based operating systems 4.3 and earlier allows local users to gain root privileges by specifying a long shell or GECOS field.,Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.cert.org/advisories/CA-1989-01.html, http://www.iss.net/security_center/static/7152.php, http://www.securityfocus.com/bid/4, http://www.cert.org/advisories/CA-1989-01.html, http://www.iss.net/security_center/static/7152.php, http://www.securityfocus.com/bid/4",
CVE-1999-1122,1989-07-26T04:00:00.000,2025-04-03T01:03:51.193,Vulnerability in restore in SunOS 4.0.3 and earlier allows local users to gain privileges.,Deferred,MEDIUM,2.0,4.6,LOCAL,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"http://www.cert.org/advisories/CA-1989-02.html, http://www.ciac.org/ciac/bulletins/ciac-08.shtml, http://www.securityfocus.com/bid/3, https://exchange.xforce.ibmcloud.com/vulnerabilities/6695, http://www.cert.org/advisories/CA-1989-02.html, http://www.ciac.org/ciac/bulletins/ciac-08.shtml, http://www.securityfocus.com/bid/3, https://exchange.xforce.ibmcloud.com/vulnerabilities/6695",
CVE-1999-1467,1989-10-26T04:00:00.000,2025-04-03T01:03:51.193,"Vulnerability in rcp on SunOS 4.0.x allows remote attackers from trusted hosts to execute arbitrary commands as root, possibly related to the configuration of the nobody user.",Deferred,HIGH,2.0,10.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://www.cert.org/advisories/CA-1989-07.html, http://www.securityfocus.com/bid/5, https://exchange.xforce.ibmcloud.com/vulnerabilities/3165, http://www.cert.org/advisories/CA-1989-07.html, http://www.securityfocus.com/bid/5, https://exchange.xforce.ibmcloud.com/vulnerabilities/3165",
CVE-1999-1506,1990-01-29T05:00:00.000,2025-04-03T01:03:51.193,"Vulnerability in SMI Sendmail 4.0 and earlier, on SunOS up to 4.0.3, allows remote attackers to access user bin.",Deferred,HIGH,2.0,7.5,NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"http://www.cert.org/advisories/CA-90.01.sun.sendmail.vulnerability, http://www.securityfocus.com/bid/6, http://www.cert.org/advisories/CA-90.01.sun.sendmail.vulnerability, http://www.securityfocus.com/bid/6",
CVE-1999-0084,1990-05-01T04:00:00.000,2025-04-03T01:03:51.193,Certain NFS servers allow users to use mknod to gain privileges by creating a writable kmem device and setting the UID to 0.,Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"https://exchange.xforce.ibmcloud.com/vulnerabilities/78, https://exchange.xforce.ibmcloud.com/vulnerabilities/78",
CVE-2000-0388,1990-05-09T04:00:00.000,2025-04-03T01:03:51.193,Buffer overflow in FreeBSD libmytinfo library allows local users to execute commands via a long TERMCAP environmental variable.,Deferred,HIGH,2.0,7.5,NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL,cve@mitre.org,"ftp://ftp.freebsd.org/pub/FreeBSD/CERT/advisories/FreeBSD-SA-00%3A17.libmytinfo.asc, http://www.securityfocus.com/bid/1185, ftp://ftp.freebsd.org/pub/FreeBSD/CERT/advisories/FreeBSD-SA-00%3A17.libmytinfo.asc, http://www.securityfocus.com/bid/1185",
CVE-1999-0209,1990-08-14T04:00:00.000,2025-04-03T01:03:51.193,The SunView (SunTools) selection_svc facility allows remote users to read files.,Deferred,MEDIUM,2.0,5.0,NETWORK,LOW,PARTIAL,NONE,NONE,cve@mitre.org,"http://www.securityfocus.com/bid/8, http://www.securityfocus.com/bid/8",
CVE-1999-1198,1990-10-03T04:00:00.000,2025-04-03T01:03:51.193,"BuildDisk program on NeXT systems before 2.0 does not prompt users for the root password, which allows local users to gain root privileges.",Deferred,HIGH,2.0,7.2,LOCAL,LOW,COMPLETE,COMPLETE,COMPLETE,cve@mitre.org,"http://ciac.llnl.gov/ciac/bulletins/b-01.shtml, http://www.cert.org/advisories/CA-1990-06.html, http://www.iss.net/security_center/static/7141.php, http://www.securityfocus.com/bid/11, http://ciac.llnl.gov/ciac/bulletins/b-01.shtml, http://www.cert.org/advisories/CA-1990-06.html, http://www.iss.net/security_center/static/7141.php, http://www.securityfocus.com/bid/11",
